City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
13,Mataura,NZ,48.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
18,San Jose,US,54.25,few clouds,37.3394,-121.895,The Westin San Jose
35,Ushuaia,AR,51.42,clear sky,-54.8,-68.3,Albatross Hotel
39,Tateyama,JP,48.13,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
43,Rota,ES,59.13,light rain,36.6224,-6.3586,Hotel Duque de Nájera
52,Bluff,NZ,48.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Hobart,AU,59.25,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
59,Kaitangata,NZ,52.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
81,Victoria,HK,59.25,few clouds,22.2855,114.1577,Mini Hotel Central
87,Lasa,IT,45.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
88,New Norfolk,AU,58.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
98,Gat,IL,52.92,broken clouds,31.61,34.7642,OlusHome
99,Pacific Grove,US,56.57,clear sky,36.6177,-121.9166,Lovers Point Inn
104,Tarazona,ES,56.8,overcast clouds,41.9,-1.7333,La Merced de la Concordia
110,Simao,CN,50.49,clear sky,22.7886,100.9748,Changyu Hotel
114,El Sauzal,MX,54.41,clear sky,31.9,-116.6833,Hotel Las Rosas & Spa
120,Mayo,US,51.94,light rain,38.8876,-76.5119,Resorts Resource Group International
121,Birjand,IR,45.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
129,Mount Gambier,AU,53.51,few clouds,-37.8333,140.7667,The Commodore
165,Delijan,IR,50.63,clear sky,33.9905,50.6838,ایزوگام آسیاگستر
183,Chalus,IR,53.06,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
195,Waipawa,NZ,56.03,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
201,Ganserndorf,AT,48.97,overcast clouds,48.3392,16.7202,Restaurant und Privatzimmer Leons Silberwald
208,Annau,TM,56.7,broken clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
210,Sayyan,YE,59.25,clear sky,15.1718,44.3244,ملاطف ابوحورية
214,Codrington,AU,54.39,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
217,Alexandria,EG,57.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
244,Damghan,IR,46.58,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
246,Lata,PT,57.72,overcast clouds,40.1629,-8.3327,Casa Maquia
269,San Quintin,MX,57.76,clear sky,30.4833,-115.95,Don Eddie's Landing
276,Bam,IR,59.86,clear sky,29.106,58.357,Bam Tourist Hotel
284,Launceston,AU,53.24,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
297,Turkmenabat,TM,48.18,haze,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
313,Oetrange,LU,45.73,mist,49.5964,6.26,Hotel Mercure Luxembourg Kikuoka Golf and Spa
320,Kaihua,CN,46.94,broken clouds,23.3687,104.28,Zhongyu Hotel
323,Seydi,TM,49.05,clear sky,39.4816,62.9137,Seydi oteli
341,Pachino,IT,57.24,broken clouds,36.7186,15.0907,Pietra Bianca B&B
350,Minusio,CH,50.61,clear sky,46.1777,8.8147,Hotel la Palma au Lac
352,Shahgarh,IN,56.46,clear sky,24.3167,79.1333,jain chat centar
353,Tuatapere,NZ,48.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
356,Guerrero Negro,MX,56.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
360,Hillsborough,US,55.0,few clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
372,Shirvan,AZ,48.13,overcast clouds,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
409,Sonoita,MX,50.52,few clouds,31.85,-112.8333,Santa Ana
413,Macau,MO,57.07,few clouds,22.2006,113.5461,Grand Emperor Hotel
436,Hauterive,FR,52.56,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
438,Waitati,NZ,53.8,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
453,Santa Barbara,US,58.33,clear sky,34.7333,-120.0343,Upper Ballard Campground
499,Epernay,FR,48.29,overcast clouds,49.05,3.95,ibis Épernay Centre-Ville
501,Mianyang,CN,45.9,overcast clouds,31.4593,104.7542,如家快捷酒店
512,Panzhihua,CN,48.9,few clouds,26.5851,101.7128,Electric Power Hotel
519,Muros,ES,58.98,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
528,Tabas,IR,57.29,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
552,Darnah,LY,53.85,few clouds,32.767,22.6367,فندق الفردوس
560,Port Hardy,CA,46.76,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
564,Mporokoso,ZM,59.2,overcast clouds,-9.3727,30.125,Government Guest House
575,Jalu,LY,57.07,clear sky,29.0331,21.5482,صاحبة الفخامة
584,Chalchihuites,MX,57.43,clear sky,23.4833,-103.8833,Hotel chalchihuites
597,Northam,GB,47.01,scattered clouds,51.0333,-4.2167,Durrant House Hotel
607,Katsuura,JP,48.22,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
608,Margate,GB,45.03,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
613,Marsaxlokk,MT,59.61,clear sky,35.8419,14.5431,Water's Edge
618,Half Moon Bay,US,55.31,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
640,Tura,IN,53.44,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
655,Le Mans,FR,46.33,clear sky,48.0,0.2,ibis Styles Le Mans Centre Gare
659,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
660,Petilia Policastro,IT,48.69,overcast clouds,39.1139,16.7855,Residenza D'Epoca Palazzo Verga
669,Sabha,LY,56.05,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
